analysis_scope,month,split_name,transactions,fraud_transactions,fraud_rate,total_amount,fraud_amount,fraud_amount_share,fraud_lift_vs_development_baseline
DEVELOPMENT_DISCOVERY,2009-08,DEVELOPMENT,116954,69,0.0005899755459411393,5095599.79000001,7220.61,0.0014170284750718199,0.4177673804263208
DEVELOPMENT_DISCOVERY,2010-03,DEVELOPMENT,123935,386,0.0031145358454028322,5451638.530000001,52821.11,0.009689033803200447,2.2054329036675546
DEVELOPMENT_DISCOVERY,2010-10,DEVELOPMENT,128209,316,0.002464725565287928,5602891.670000004,45950.92,0.008201286533173318,1.7452959702550954
DEVELOPMENT_DISCOVERY,2010-11,DEVELOPMENT,125574,341,0.0027155302849315942,5452295.769999986,50015.29000000001,0.009173253269787332,1.9228932138102475
DEVELOPMENT_DISCOVERY,2001-03,DEVELOPMENT,19536,40,0.0020475020475020475,887967.1600000003,3933.8999999999996,0.00443023140630561,1.4498559689248514
DEVELOPMENT_DISCOVERY,1997-01,DEVELOPMENT,3380,0,0.0,153122.95000000004,,,0.0
DEVELOPMENT_DISCOVERY,1997-02,DEVELOPMENT,3070,0,0.0,144082.99000000002,,,0.0
DEVELOPMENT_DISCOVERY,1997-08,DEVELOPMENT,4462,0,0.0,212861.51,,,0.0
DEVELOPMENT_DISCOVERY,1998-05,DEVELOPMENT,6310,5,0.000792393026941363,290580.03,683.5600000000001,0.0023523984081080863,0.5611011531084765
DEVELOPMENT_DISCOVERY,1999-04,DEVELOPMENT,8891,7,0.0007873130131593746,420596.19,949.13,0.002256630046981643,0.5575039463007853
DEVELOPMENT_DISCOVERY,1999-09,DEVELOPMENT,10322,0,0.0,474051.2199999997,,,0.0
DEVELOPMENT_DISCOVERY,1995-01,DEVELOPMENT,1624,0,0.0,76999.69,,,0.0
DEVELOPMENT_DISCOVERY,1995-05,DEVELOPMENT,1690,0,0.0,81165.64999999998,,,0.0
DEVELOPMENT_DISCOVERY,1991-07,DEVELOPMENT,178,0,0.0,11561.789999999999,,,0.0
DEVELOPMENT_DISCOVERY,2007-10,DEVELOPMENT,93019,251,0.002698373450585364,4137030.9299999913,25149.6,0.006079142366963172,1.9107442937566221
DEVELOPMENT_DISCOVERY,2007-11,DEVELOPMENT,92288,318,0.003445735090152566,4048197.820000011,36999.25,0.009139684285487783,2.439958286677373
DEVELOPMENT_DISCOVERY,2001-09,DEVELOPMENT,22638,20,0.0008834702712253732,1021414.0399999996,2973.6799999999994,0.0029113365232379227,0.6255938291570786
DEVELOPMENT_DISCOVERY,2001-11,DEVELOPMENT,23721,20,0.0008431347750937988,1066777.770000001,2601.61,0.0024387553557663633,0.5970318748981049
DEVELOPMENT_DISCOVERY,2002-06,DEVELOPMENT,28826,0,0.0,1328948.7299999993,,,0.0
DEVELOPMENT_DISCOVERY,2002-07,DEVELOPMENT,30111,0,0.0,1395502.1,,,0.0
DEVELOPMENT_DISCOVERY,2003-11,DEVELOPMENT,41884,0,0.0,1933316.710000001,,,0.0
DEVELOPMENT_DISCOVERY,2004-10,DEVELOPMENT,54871,78,0.0014215159191558382,2489403.220000002,11930.069999999996,0.004792341354808718,1.0065891474073005
DEVELOPMENT_DISCOVERY,2004-11,DEVELOPMENT,53890,71,0.0013174986082761181,2414596.1100000003,8595.64,0.003559866581579144,0.9329334852630491
DEVELOPMENT_DISCOVERY,2005-01,DEVELOPMENT,57690,0,0.0,2603877.8299999996,,,0.0
DEVELOPMENT_DISCOVERY,2009-01,DEVELOPMENT,110208,317,0.0028763792102206734,4829727.6899999995,39686.75000000001,0.008217181702018485,2.036791890839671
DEVELOPMENT_DISCOVERY,2009-06,DEVELOPMENT,110739,72,0.0006501774442608296,4924944.600000008,4127.42,0.0008380642494942975,0.4603969258892406
DEVELOPMENT_DISCOVERY,2010-01,DEVELOPMENT,120871,153,0.00126581231229989,5235411.2,16452.29,0.0031425019681357597,0.8963339200395736
DEVELOPMENT_DISCOVERY,2011-06,DEVELOPMENT,64968,0,0.0,2868054.409999999,,,0.0
DEVELOPMENT_DISCOVERY,2000-03,DEVELOPMENT,13983,7,0.0005006078809983551,653758.9199999997,565.95,0.000865686085017395,0.3544852740156105
DEVELOPMENT_DISCOVERY,2000-04,DEVELOPMENT,13735,13,0.0009464870768110666,651840.3099999999,713.5699999999999,0.0010947006330430838,0.6702166376336123
DEVELOPMENT_DISCOVERY,2001-06,DEVELOPMENT,21568,42,0.0019473293768545994,988163.2599999994,5104.09,0.005165229478375874,1.37892273364993
DEVELOPMENT_DISCOVERY,2000-02,DEVELOPMENT,12012,9,0.0007492507492507493,569478.05,729.0500000000001,0.0012802073758593506,0.5305516897274456
DEVELOPMENT_DISCOVERY,1998-06,DEVELOPMENT,6364,0,0.0,308403.22,,,0.0
DEVELOPMENT_DISCOVERY,1998-09,DEVELOPMENT,7119,7,0.0009832841691248771,327903.98,488.19999999999993,0.0014888504860477753,0.6962730139851498
DEVELOPMENT_DISCOVERY,1996-05,DEVELOPMENT,2427,0,0.0,121989.53,,,0.0
DEVELOPMENT_DISCOVERY,1996-10,DEVELOPMENT,2977,0,0.0,138962.21999999997,,,0.0
DEVELOPMENT_DISCOVERY,1992-12,DEVELOPMENT,598,0,0.0,30026.989999999998,,,0.0
DEVELOPMENT_DISCOVERY,1994-07,DEVELOPMENT,1182,0,0.0,61619.6,,,0.0
DEVELOPMENT_DISCOVERY,1995-06,DEVELOPMENT,1622,0,0.0,79550.31000000003,,,0.0
DEVELOPMENT_DISCOVERY,1995-08,DEVELOPMENT,1831,0,0.0,86385.52999999998,,,0.0
DEVELOPMENT_DISCOVERY,1995-09,DEVELOPMENT,1757,0,0.0,85926.82,,,0.0
DEVELOPMENT_DISCOVERY,1996-02,DEVELOPMENT,1941,0,0.0,82988.55,,,0.0
DEVELOPMENT_DISCOVERY,1991-05,DEVELOPMENT,45,0,0.0,4217.68,,,0.0
DEVELOPMENT_DISCOVERY,2006-09,DEVELOPMENT,78059,38,0.0004868112581508859,3491035.460000009,1788.67,0.0005123608798863348,0.34471575216784867
DEVELOPMENT_DISCOVERY,2006-12,DEVELOPMENT,82386,0,0.0,3667004.4600000056,,,0.0
DEVELOPMENT_DISCOVERY,2007-08,DEVELOPMENT,93206,124,0.001330386455807566,4139001.749999985,13239.089999999998,0.003198619087319798,0.942059494535108
DEVELOPMENT_DISCOVERY,2007-09,DEVELOPMENT,90235,257,0.0028481188009087384,4035199.020000004,26215.899999999994,0.006496804710266798,2.0167804221453385
DEVELOPMENT_DISCOVERY,2002-05,DEVELOPMENT,28656,0,0.0,1305598.750000001,,,0.0
DEVELOPMENT_DISCOVERY,2002-08,DEVELOPMENT,31110,0,0.0,1430695.1499999985,,,0.0
DEVELOPMENT_DISCOVERY,2003-05,DEVELOPMENT,38140,89,0.0023335081279496593,1739429.200000002,6932.68,0.0039856063126915385,1.6523796359422618
DEVELOPMENT_DISCOVERY,2003-10,DEVELOPMENT,42703,0,0.0,1939539.6499999997,,,0.0
DEVELOPMENT_DISCOVERY,2004-04,DEVELOPMENT,45930,47,0.0010232963204876986,2134853.7899999977,4666.26,0.0021857515591266817,0.7246060046914037
DEVELOPMENT_DISCOVERY,2004-05,DEVELOPMENT,48590,22,0.000452768059271455,2195798.4200000004,2156.3,0.0009820118187351642,0.32060943434665035
DEVELOPMENT_DISCOVERY,2000-07,DEVELOPMENT,15729,19,0.0012079598194417954,735414.83,1463.0099999999998,0.001989367008005536,0.8553680112680431
DEVELOPMENT_DISCOVERY,2001-02,DEVELOPMENT,16640,18,0.0010817307692307693,778194.18,2394.6,0.003077124015499576,0.7659840020439995
DEVELOPMENT_DISCOVERY,1997-03,DEVELOPMENT,3898,8,0.002052334530528476,185744.28000000006,1040.22,0.005600280127065015,1.453277896814566
DEVELOPMENT_DISCOVERY,1997-09,DEVELOPMENT,4136,4,0.0009671179883945841,198249.4100000001,464.98,0.0023454294264986706,0.684825585321951
DEVELOPMENT_DISCOVERY,1998-04,DEVELOPMENT,5623,4,0.0007113640405477503,277222.61000000004,66.31,0.0002391940541934873,0.5037237454902347
DEVELOPMENT_DISCOVERY,1996-07,DEVELOPMENT,2587,10,0.003865481252415926,122332.87,1398.15,0.011429062360753901,2.737184596918815
DEVELOPMENT_DISCOVERY,1993-06,DEVELOPMENT,694,0,0.0,36739.40000000001,,,0.0
DEVELOPMENT_DISCOVERY,1993-12,DEVELOPMENT,833,0,0.0,44508.53000000001,,,0.0
DEVELOPMENT_DISCOVERY,1994-03,DEVELOPMENT,865,0,0.0,43819.59000000001,,,0.0
DEVELOPMENT_DISCOVERY,1994-12,DEVELOPMENT,1553,0,0.0,71087.62,,,0.0
DEVELOPMENT_DISCOVERY,1996-03,DEVELOPMENT,2206,0,0.0,98277.14000000001,,,0.0
DEVELOPMENT_DISCOVERY,1991-11,DEVELOPMENT,179,0,0.0,11714.509999999998,,,0.0
DEVELOPMENT_DISCOVERY,1992-04,DEVELOPMENT,427,0,0.0,24732.500000000007,,,0.0
DEVELOPMENT_DISCOVERY,1991-01,DEVELOPMENT,55,0,0.0,3087.89,,,0.0
DEVELOPMENT_DISCOVERY,2005-08,DEVELOPMENT,65610,8,0.00012193263222069806,2925113.1600000015,688.35,0.0002353242293026365,0.08634167416221884
DEVELOPMENT_DISCOVERY,2006-03,DEVELOPMENT,73917,158,0.0021375326379587914,3345542.55,16249.15,0.004856955114798943,1.51360749929269
DEVELOPMENT_DISCOVERY,2007-02,DEVELOPMENT,76790,74,0.0009636671441593958,3460247.8900000025,8796.220000000001,0.0025420779896783625,0.6823820092003439
DEVELOPMENT_DISCOVERY,2007-03,DEVELOPMENT,86436,97,0.0011222175945208015,3862790.860000002,9426.53,0.0024403417999182063,0.794653113941194
DEVELOPMENT_DISCOVERY,2008-04,DEVELOPMENT,96943,232,0.002393158866550447,4292830.239999992,23255.909999999996,0.005417384033336487,1.694618899886657
DEVELOPMENT_DISCOVERY,2002-04,DEVELOPMENT,26765,0,0.0,1213965.060000001,,,0.0
DEVELOPMENT_DISCOVERY,2003-08,DEVELOPMENT,40856,0,0.0,1848896.6999999972,,,0.0
DEVELOPMENT_DISCOVERY,2009-02,DEVELOPMENT,100741,262,0.0026007286010661,4444920.239999994,30440.33,0.006848341107691067,1.8416010330292443
DEVELOPMENT_DISCOVERY,2011-03,DEVELOPMENT,132054,0,0.0,5768493.450000012,,,0.0
DEVELOPMENT_DISCOVERY,2011-04,DEVELOPMENT,128700,0,0.0,5628283.9000000125,,,0.0
DEVELOPMENT_DISCOVERY,2000-11,DEVELOPMENT,15938,19,0.0011921194629188104,739632.7099999997,2096.2,0.0028341093784237863,0.8441513018719444
DEVELOPMENT_DISCOVERY,2000-01,DEVELOPMENT,12547,14,0.0011158045747987567,582906.64,1285.44,0.0022052244935827116,0.7901119927568792
DEVELOPMENT_DISCOVERY,1997-05,DEVELOPMENT,4289,0,0.0,193412.1199999999,,,0.0
DEVELOPMENT_DISCOVERY,1997-07,DEVELOPMENT,4379,9,0.0020552637588490525,201773.84000000003,627.53,0.0031100662008514083,1.4553521116707187
DEVELOPMENT_DISCOVERY,1997-12,DEVELOPMENT,5014,0,0.0,228509.72999999998,,,0.0
DEVELOPMENT_DISCOVERY,1998-03,DEVELOPMENT,5544,0,0.0,264226.1999999999,,,0.0
DEVELOPMENT_DISCOVERY,1998-08,DEVELOPMENT,6972,8,0.0011474469305794606,317722.2399999999,390.72,0.001229753384591523,0.8125182503991937
DEVELOPMENT_DISCOVERY,1999-01,DEVELOPMENT,8192,0,0.0,373789.39999999985,,,0.0
DEVELOPMENT_DISCOVERY,1996-06,DEVELOPMENT,2474,0,0.0,116228.77999999996,,,0.0
DEVELOPMENT_DISCOVERY,1996-12,DEVELOPMENT,3187,0,0.0,153505.50000000006,,,0.0
DEVELOPMENT_DISCOVERY,1992-10,DEVELOPMENT,375,0,0.0,21599.469999999994,,,0.0
DEVELOPMENT_DISCOVERY,1993-10,DEVELOPMENT,753,0,0.0,38590.70999999999,,,0.0
DEVELOPMENT_DISCOVERY,1994-01,DEVELOPMENT,863,0,0.0,46235.33000000001,,,0.0
DEVELOPMENT_DISCOVERY,1994-06,DEVELOPMENT,1187,0,0.0,62006.960000000014,,,0.0
DEVELOPMENT_DISCOVERY,1994-08,DEVELOPMENT,1367,0,0.0,67739.22,,,0.0
DEVELOPMENT_DISCOVERY,1995-04,DEVELOPMENT,1694,0,0.0,86492.13999999996,,,0.0
DEVELOPMENT_DISCOVERY,1995-12,DEVELOPMENT,1982,0,0.0,89707.17999999998,,,0.0
DEVELOPMENT_DISCOVERY,1992-08,DEVELOPMENT,415,0,0.0,23959.729999999992,,,0.0
DEVELOPMENT_DISCOVERY,1991-08,DEVELOPMENT,164,0,0.0,11692.06,,,0.0
DEVELOPMENT_DISCOVERY,1992-06,DEVELOPMENT,366,0,0.0,20212.359999999997,,,0.0
DEVELOPMENT_DISCOVERY,1992-07,DEVELOPMENT,406,0,0.0,23248.210000000014,,,0.0
DEVELOPMENT_DISCOVERY,1991-02,DEVELOPMENT,48,0,0.0,2482.5400000000004,,,0.0
DEVELOPMENT_DISCOVERY,1991-06,DEVELOPMENT,52,0,0.0,2796.3100000000004,,,0.0
DEVELOPMENT_DISCOVERY,2005-05,DEVELOPMENT,62110,22,0.00035421027209789086,2838783.239999999,3013.74,0.0010616308978913095,0.2508197136516462
DEVELOPMENT_DISCOVERY,2005-06,DEVELOPMENT,61007,5,8.195780812037963e-05,2800268.919999999,356.6,0.00012734491228792418,0.058035115250946394
DEVELOPMENT_DISCOVERY,2005-11,DEVELOPMENT,65405,62,0.0009479397599571898,2964870.760000001,2940.55,0.0009917970252436902,0.6712452965953617
DEVELOPMENT_DISCOVERY,2006-06,DEVELOPMENT,74459,149,0.002001101277212963,3408942.550000001,13466.310000000001,0.00395028951133248,1.4169991354733709
DEVELOPMENT_DISCOVERY,2006-10,DEVELOPMENT,80736,0,0.0,3607522.759999997,,,0.0
DEVELOPMENT_DISCOVERY,2008-01,DEVELOPMENT,98404,240,0.0024389252469411813,4353928.969999993,23521.42,0.005402343529733797,1.7270265157259397
DEVELOPMENT_DISCOVERY,2008-06,DEVELOPMENT,99973,272,0.0027207345983415523,4410899.999999996,27471.08,0.006227998821102275,1.9265784383846447
DEVELOPMENT_DISCOVERY,2004-01,DEVELOPMENT,45473,42,0.0009236250082466518,2095793.920000005,6519.969999999999,0.0031109785832377944,0.6540277861447823
DEVELOPMENT_DISCOVERY,2004-02,DEVELOPMENT,41400,43,0.0010386473429951691,1876773.8999999964,5855.750000000001,0.0031201147884675996,0.7354762119464876
DEVELOPMENT_DISCOVERY,2004-07,DEVELOPMENT,51084,44,0.0008613264427217916,2339070.5100000002,7146.27,0.0030551751088512503,0.6099135703900924
DEVELOPMENT_DISCOVERY,2004-08,DEVELOPMENT,52429,76,0.0014495794312308075,2353829.439999999,11479.890000000001,0.00487711208166383,1.0264611912670507
DEVELOPMENT_DISCOVERY,2004-12,DEVELOPMENT,55983,32,0.0005716020934926674,2517665.6800000025,5294.33,0.002102872530716626,0.40475696134777905
DEVELOPMENT_DISCOVERY,2005-04,DEVELOPMENT,58629,0,0.0,2697105.809999998,,,0.0
DEVELOPMENT_DISCOVERY,2008-12,DEVELOPMENT,108822,323,0.0029681498226461563,4756450.150000011,35611.119999999995,0.0074869112209658955,2.1017755475638737
DEVELOPMENT_DISCOVERY,2009-05,DEVELOPMENT,113286,76,0.0006708684215172219,4950835.300000002,5625.409999999999,0.0011362547245310295,0.47504840666048936
DEVELOPMENT_DISCOVERY,2009-12,DEVELOPMENT,119650,40,0.0003343083994985374,5137949.14000002,3466.84,0.0006747517162071376,0.23672700550702794
DEVELOPMENT_DISCOVERY,2010-02,DEVELOPMENT,111571,391,0.003504494895627,4894491.920000017,50692.95,0.010357142442682758,2.4815666722728387
DEVELOPMENT_DISCOVERY,2010-04,DEVELOPMENT,119991,343,0.0028585477244126643,5305018.649999997,42105.48,0.007936914604437824,2.0241652435720496
DEVELOPMENT_DISCOVERY,2010-12,DEVELOPMENT,130886,229,0.001749614168054643,5696083.919999992,33201.27,0.005828788772480032,1.2389186853142695
DEVELOPMENT_DISCOVERY,2000-09,DEVELOPMENT,15637,11,0.0007034597429174394,727719.7699999999,1909.09,0.0026233861971346473,0.49812663602045604
DEVELOPMENT_DISCOVERY,2001-05,DEVELOPMENT,21115,34,0.001610229694529955,986422.6199999996,4148.01,0.004205104299007257,1.1402191938232777
DEVELOPMENT_DISCOVERY,1997-11,DEVELOPMENT,4631,4,0.0008637443316778234,223159.07000000015,1123.22,0.005033270662043892,0.6116257009051154
DEVELOPMENT_DISCOVERY,1998-10,DEVELOPMENT,7716,1,0.00012960082944530845,356026.8600000001,62.45,0.00017540811387095902,0.09177159865511889
DEVELOPMENT_DISCOVERY,1999-06,DEVELOPMENT,9520,0,0.0,446244.05999999965,,,0.0
DEVELOPMENT_DISCOVERY,1996-04,DEVELOPMENT,2083,0,0.0,101079.74000000002,,,0.0
DEVELOPMENT_DISCOVERY,1996-08,DEVELOPMENT,2720,0,0.0,132635.49,,,0.0
DEVELOPMENT_DISCOVERY,1996-09,DEVELOPMENT,2624,0,0.0,123458.57999999996,,,0.0
DEVELOPMENT_DISCOVERY,1993-01,DEVELOPMENT,627,0,0.0,35467.47,,,0.0
DEVELOPMENT_DISCOVERY,1993-02,DEVELOPMENT,553,0,0.0,32550.360000000008,,,0.0
DEVELOPMENT_DISCOVERY,1993-08,DEVELOPMENT,767,0,0.0,45657.32999999999,,,0.0
DEVELOPMENT_DISCOVERY,1993-09,DEVELOPMENT,755,0,0.0,44166.96,,,0.0
DEVELOPMENT_DISCOVERY,1994-02,DEVELOPMENT,736,0,0.0,40145.90999999999,,,0.0
DEVELOPMENT_DISCOVERY,1994-10,DEVELOPMENT,1358,0,0.0,72818.74,,,0.0
DEVELOPMENT_DISCOVERY,1995-07,DEVELOPMENT,1716,0,0.0,79473.91000000002,,,0.0
DEVELOPMENT_DISCOVERY,1995-11,DEVELOPMENT,1918,0,0.0,90552.37999999998,,,0.0
DEVELOPMENT_DISCOVERY,1991-12,DEVELOPMENT,426,0,0.0,25696.739999999998,,,0.0
DEVELOPMENT_DISCOVERY,1991-04,DEVELOPMENT,48,0,0.0,2868.54,,,0.0
DEVELOPMENT_DISCOVERY,2005-12,DEVELOPMENT,68997,84,0.0012174442367059437,3106839.5000000037,7020.53,0.0022597015391364736,0.8620840187069493
DEVELOPMENT_DISCOVERY,2006-02,DEVELOPMENT,65680,183,0.0027862362971985384,2949627.6899999985,19678.129999999997,0.006671394517590797,1.9729608237787792
DEVELOPMENT_DISCOVERY,2006-04,DEVELOPMENT,71613,122,0.0017036013014396828,3270166.0800000033,11854.16,0.003624941275153826,1.206336530199733
DEVELOPMENT_DISCOVERY,2007-12,DEVELOPMENT,96444,281,0.0029136078968105845,4238541.180000006,27473.060000000005,0.006481725394018695,2.063153883265254
DEVELOPMENT_DISCOVERY,2002-09,DEVELOPMENT,30568,0,0.0,1406237.8900000006,,,0.0
DEVELOPMENT_DISCOVERY,2002-10,DEVELOPMENT,32610,0,0.0,1501522.64,,,0.0
DEVELOPMENT_DISCOVERY,2003-03,DEVELOPMENT,36916,34,0.0009210098602232095,1686632.6200000015,2100.4300000000003,0.001245339367383988,0.6521759745795458
DEVELOPMENT_DISCOVERY,2003-07,DEVELOPMENT,40022,12,0.00029983509070011493,1833987.3099999991,715.13,0.0003899318147408557,0.21231612269938455
DEVELOPMENT_DISCOVERY,2004-06,DEVELOPMENT,48657,78,0.0016030581416856774,2249004.8100000033,15627.649999999996,0.006948695676644628,1.1351409480113035
DEVELOPMENT_DISCOVERY,2004-09,DEVELOPMENT,51756,19,0.0003671071953010279,2335250.2299999986,2769.41,0.0011859157380320659,0.2599521494944557
DEVELOPMENT_DISCOVERY,2008-09,DEVELOPMENT,103129,280,0.0027150462042684403,4516079.5000000065,31225.24,0.006914236120068293,1.9225504316187614
DEVELOPMENT_DISCOVERY,2008-10,DEVELOPMENT,107942,452,0.0041874339923292135,4780058.15999999,52588.57000000001,0.011001659025839158,2.96516244057688
DEVELOPMENT_DISCOVERY,2009-04,DEVELOPMENT,109143,35,0.00032068020853375846,4841147.24,3484.4300000000003,0.0007197529484767334,0.22707675190164653
DEVELOPMENT_DISCOVERY,2009-07,DEVELOPMENT,115433,43,0.0003725104606135161,5076698.270000007,4953.05,0.0009756439592380962,0.2637782538319596
DEVELOPMENT_DISCOVERY,2009-09,DEVELOPMENT,113553,14,0.00012329044587109105,4941973.960000014,1264.57,0.0002558835821951592,0.08730315511805557
DEVELOPMENT_DISCOVERY,2010-05,DEVELOPMENT,125746,408,0.0032446360122787205,5550751.999999998,45548.41,0.008205808870581864,2.2975580879784814
DEVELOPMENT_DISCOVERY,2010-08,DEVELOPMENT,129221,345,0.0026698446846874736,5634297.470000008,35132.24,0.006235425123906344,1.890542799172732
DEVELOPMENT_DISCOVERY,2000-05,DEVELOPMENT,14554,22,0.0015116119279923045,683983.56,1983.9,0.0029005083104629006,1.0703870011614498
DEVELOPMENT_DISCOVERY,2000-12,DEVELOPMENT,16796,14,0.0008335317932841152,778773.1100000003,1842.56,0.0023659779418937553,0.5902319107597382
DEVELOPMENT_DISCOVERY,2001-01,DEVELOPMENT,17841,16,0.0008968107168880668,828082.3300000001,1663.55,0.002008918605955521,0.6350403275358083
DEVELOPMENT_DISCOVERY,1999-12,DEVELOPMENT,12259,2,0.00016314544416347175,566854.8700000005,71.79,0.00012664617312011442,0.11552486421778242
DEVELOPMENT_DISCOVERY,1997-10,DEVELOPMENT,4693,0,0.0,219425.22999999992,,,0.0
DEVELOPMENT_DISCOVERY,1998-07,DEVELOPMENT,7078,0,0.0,335540.9200000003,,,0.0
DEVELOPMENT_DISCOVERY,1999-07,DEVELOPMENT,10006,0,0.0,477813.4099999996,,,0.0
DEVELOPMENT_DISCOVERY,1999-11,DEVELOPMENT,11194,0,0.0,505214.33999999985,,,0.0
DEVELOPMENT_DISCOVERY,1993-03,DEVELOPMENT,607,0,0.0,35453.08,,,0.0
DEVELOPMENT_DISCOVERY,1994-05,DEVELOPMENT,1200,0,0.0,59830.47,,,0.0
DEVELOPMENT_DISCOVERY,1994-09,DEVELOPMENT,1396,0,0.0,66388.65,,,0.0
DEVELOPMENT_DISCOVERY,1995-03,DEVELOPMENT,1700,0,0.0,78434.25000000001,,,0.0
DEVELOPMENT_DISCOVERY,1995-10,DEVELOPMENT,1773,0,0.0,85281.28,,,0.0
DEVELOPMENT_DISCOVERY,1996-01,DEVELOPMENT,1897,0,0.0,83285.75999999998,,,0.0
DEVELOPMENT_DISCOVERY,1991-10,DEVELOPMENT,155,0,0.0,10214.32,,,0.0
DEVELOPMENT_DISCOVERY,1992-02,DEVELOPMENT,367,0,0.0,20916.809999999998,,,0.0
DEVELOPMENT_DISCOVERY,1992-03,DEVELOPMENT,426,0,0.0,23599.75,,,0.0
DEVELOPMENT_DISCOVERY,1992-05,DEVELOPMENT,441,0,0.0,24582.190000000002,,,0.0
DEVELOPMENT_DISCOVERY,1991-03,DEVELOPMENT,45,0,0.0,3175.5900000000006,,,0.0
DEVELOPMENT_DISCOVERY,2005-09,DEVELOPMENT,63825,19,0.00029768899334116724,2908796.4999999986,1872.1,0.0006435995092815881,0.21079645043846532
DEVELOPMENT_DISCOVERY,2006-05,DEVELOPMENT,75235,120,0.0015950023260450589,3368779.680000006,11174.580000000002,0.003317100274126559,1.129436547175486
DEVELOPMENT_DISCOVERY,2006-11,DEVELOPMENT,79187,0,0.0,3487863.340000001,,,0.0
DEVELOPMENT_DISCOVERY,2007-01,DEVELOPMENT,83209,3,3.605379225804901e-05,3692837.3399999924,665.72,0.00018027330713678318,0.02553003840532505
DEVELOPMENT_DISCOVERY,2007-04,DEVELOPMENT,84792,147,0.0017336541183130484,3830345.9199999934,13655.15,0.003564991331122392,1.2276172199944089
DEVELOPMENT_DISCOVERY,2007-05,DEVELOPMENT,88843,92,0.0010355345947345317,3965388.659999999,8210.23,0.0020704729609026524,0.7332720448488519
DEVELOPMENT_DISCOVERY,2007-06,DEVELOPMENT,87720,134,0.0015275877792977656,3938680.8399999947,12784.29,0.0032458303983828297,1.0816996557212522
DEVELOPMENT_DISCOVERY,2008-02,DEVELOPMENT,88859,189,0.0021269651920458256,3898608.8000000007,16088.099999999999,0.004126625887675623,1.5061245888106731
DEVELOPMENT_DISCOVERY,2008-05,DEVELOPMENT,102974,341,0.003311515528191582,4525225.329999992,31228.680000000004,0.006901022097832212,2.344916118933012
DEVELOPMENT_DISCOVERY,2003-02,DEVELOPMENT,32845,48,0.001461409651392906,1480333.0399999998,3142.0200000000004,0.0021225088646268414,1.0348382843872452
DEVELOPMENT_DISCOVERY,2003-04,DEVELOPMENT,36289,26,0.000716470555815812,1678257.9900000012,1839.5300000000002,0.0010960948858643592,0.5073397182560923
DEVELOPMENT_DISCOVERY,2003-06,DEVELOPMENT,37770,45,0.0011914217633042098,1730624.9300000025,4256.889999999999,0.0024597415223875188,0.8436572540384004
DEVELOPMENT_DISCOVERY,2004-03,DEVELOPMENT,46940,68,0.0014486578610992758,2155339.710000002,6925.4800000000005,0.0032131732960090985,1.0258086185589481
DEVELOPMENT_DISCOVERY,2005-02,DEVELOPMENT,52900,0,0.0,2395833.929999999,,,0.0
DEVELOPMENT_DISCOVERY,2005-03,DEVELOPMENT,59734,0,0.0,2717141.1299999966,,,0.0
DEVELOPMENT_DISCOVERY,2008-11,DEVELOPMENT,105409,416,0.003946532079803432,4636436.510000005,45195.850000000006,0.009747971292720226,2.7945774703557125
DEVELOPMENT_DISCOVERY,2009-11,DEVELOPMENT,115071,27,0.00023463774539197538,4962465.029999993,2656.71,0.000535360951450373,0.16614925299178965
