selection_rank,user_token,selection_method,target_based_selection
86,e6fcc0253ed7a328a10eb6e2e1ad6abcad60c374c64dbac4b76da610085b43d8,ORDER_BY_MD5_USER_ID,False
87,fcf1e4bf9cc9c1083647b91463e86f49c6961406c37055c7eb8ad13937a519db,ORDER_BY_MD5_USER_ID,False
88,ec1c7d93ba051204e4fea7e167f540c2136769c82329c53f5b7a0770bb237987,ORDER_BY_MD5_USER_ID,False
89,88b82308d570d71f02c5aa6a14ffe29a7ffbe14969a63094eb19e8e34256d9bf,ORDER_BY_MD5_USER_ID,False
90,ef32cc5c2b7c62093d3ec4844b36a02b08bb83eee2efa6b6b5e85ad605790192,ORDER_BY_MD5_USER_ID,False
91,8df66f64b57424391d363fd6b811fed3c430c77597da265025728bd637bad804,ORDER_BY_MD5_USER_ID,False
92,3e1e967e9b793e908f8eae83c74dba9bcccce6a5535b4b462bd9994537bfe15c,ORDER_BY_MD5_USER_ID,False
93,80f8ded29fa2e922c77b98ea8f229ef65ea360daf5d1c9e05b80539e502b5621,ORDER_BY_MD5_USER_ID,False
94,7b4f6f46093c9812bff7745ec3bc0f70d49ad40f18ae3bba91f719f15c0571f7,ORDER_BY_MD5_USER_ID,False
95,a7bb4472588958f3423a69c1f8a922f367b3c8e5fc72dfc8d138f646943d0b44,ORDER_BY_MD5_USER_ID,False
96,3b2252403733f1c121b735f144853af40c3e02a84b81e60c40571893d5d8652c,ORDER_BY_MD5_USER_ID,False
97,9b5173ba93decd311f89513f060a62d652ec189f0dba97db15c2a07787add029,ORDER_BY_MD5_USER_ID,False
98,5ec1a0c99d428601ce42b407ae9c675e0836a8ba591c8ca6e2a2cf5563d97ff0,ORDER_BY_MD5_USER_ID,False
99,0e6801798cea548d4bdb92af10e38939f59af24c4558a458707f8c970801a9c7,ORDER_BY_MD5_USER_ID,False
100,5e968ce47ce4a17e3823c29332a39d049a8d0afb08d157eb6224625f92671a51,ORDER_BY_MD5_USER_ID,False
