feature_name,bin_order,bin,feature_value,transactions,fraud_transactions,fraud_rate,support_threshold,support_status
current_positive_amount_user_z,3,-1 ≤ z < 1,,41253,34,0.0008241824836981553,1000,INTERPRETABLE
current_positive_amount_user_z,4,1 ≤ z < 2,,1797,4,0.0022259321090706734,1000,INTERPRETABLE
current_positive_amount_user_z,5,2 ≤ z < 3,,500,2,0.004,1000,LOW_SUPPORT
current_positive_amount_user_z,6,3 ≤ z < 5,,306,0,0.0,1000,LOW_SUPPORT
current_positive_amount_user_z,7,z ≥ 5,,338,1,0.0029585798816568047,1000,LOW_SUPPORT
current_positive_amount_vs_card_mean,0,NULL,,1162,1,0.0008605851979345956,1000,INTERPRETABLE
current_positive_amount_vs_card_mean,1,<0.25x,,7703,9,0.0011683759574191873,1000,INTERPRETABLE
current_positive_amount_vs_card_mean,2,0.25–0.5x,,6863,4,0.0005828354946816261,1000,INTERPRETABLE
current_positive_amount_vs_card_mean,3,0.5–1x,,13734,10,0.0007281199941750401,1000,INTERPRETABLE
current_positive_amount_vs_card_mean,4,1–2x,,13221,7,0.0005294607064518569,1000,INTERPRETABLE
current_positive_amount_vs_card_mean,5,2–5x,,2732,10,0.0036603221083455345,1000,INTERPRETABLE
current_positive_amount_vs_card_mean,6,5–10x,,313,1,0.003194888178913738,1000,LOW_SUPPORT
current_positive_amount_vs_card_mean,7,10x+,,155,1,0.0064516129032258064,1000,LOW_SUPPORT
current_positive_amount_vs_user_mean,0,NULL,,1150,1,0.0008695652173913044,1000,INTERPRETABLE
current_positive_amount_vs_user_mean,1,<0.25x,,7743,10,0.0012914890869172154,1000,INTERPRETABLE
current_positive_amount_vs_user_mean,2,0.25–0.5x,,7075,4,0.0005653710247349824,1000,INTERPRETABLE
current_positive_amount_vs_user_mean,3,0.5–1x,,13694,10,0.0007302468234263181,1000,INTERPRETABLE
current_positive_amount_vs_user_mean,4,1–2x,,12972,7,0.0005396238051187173,1000,INTERPRETABLE
current_positive_amount_vs_user_mean,5,2–5x,,2682,10,0.0037285607755406414,1000,INTERPRETABLE
current_positive_amount_vs_user_mean,6,5–10x,,371,0,0.0,1000,LOW_SUPPORT
current_positive_amount_vs_user_mean,7,10x+,,196,1,0.00510204081632653,1000,LOW_SUPPORT
merchant_seconds_since_prev_txn,0,NULL,,1271,9,0.007081038552321007,1000,INTERPRETABLE
merchant_seconds_since_prev_txn,2,1–5 minutes,,809,0,0.0,1000,LOW_SUPPORT
merchant_seconds_since_prev_txn,3,5–30 minutes,,2303,3,0.0013026487190620929,1000,INTERPRETABLE
merchant_seconds_since_prev_txn,4,30 minutes–6 hours,,3793,0,0.0,1000,INTERPRETABLE
merchant_seconds_since_prev_txn,5,6–24 hours,,6761,1,0.00014790711433219938,1000,INTERPRETABLE
merchant_seconds_since_prev_txn,6,1–7 days,,16135,4,0.0002479082739386427,1000,INTERPRETABLE
merchant_seconds_since_prev_txn,7,7–30 days,,9336,10,0.0010711225364181663,1000,INTERPRETABLE
merchant_seconds_since_prev_txn,8,30+ days,,5475,16,0.0029223744292237444,1000,INTERPRETABLE
merchant_txn_count_1h,0,0,,34246,20,0.0005840098113648309,1000,INTERPRETABLE
merchant_txn_count_1h,1,1,,9099,19,0.0020881415540169247,1000,INTERPRETABLE
merchant_txn_count_1h,2,2–4,,2524,4,0.001584786053882726,1000,INTERPRETABLE
merchant_txn_count_1h,3,5–9,,14,0,0.0,1000,LOW_SUPPORT
merchant_txn_count_24h,0,0,,2774,5,0.001802451333813987,1000,INTERPRETABLE
merchant_txn_count_24h,1,1,,5993,3,0.0005005840146837978,1000,INTERPRETABLE
merchant_txn_count_24h,2,2–4,,21685,7,0.0003228037814157252,1000,INTERPRETABLE
merchant_txn_count_24h,3,5–9,,14481,16,0.0011048960707133485,1000,INTERPRETABLE
merchant_txn_count_24h,4,10–19,,950,12,0.01263157894736842,1000,LOW_SUPPORT
user_seconds_since_prev_txn,0,NULL,,6,0,0.0,1000,LOW_SUPPORT
user_seconds_since_prev_txn,2,1–5 minutes,,1405,5,0.0035587188612099642,1000,INTERPRETABLE
user_seconds_since_prev_txn,3,5–30 minutes,,5821,12,0.002061501460230201,1000,INTERPRETABLE
user_seconds_since_prev_txn,4,30 minutes–6 hours,,20116,21,0.0010439451183137801,1000,INTERPRETABLE
user_seconds_since_prev_txn,5,6–24 hours,,15727,0,0.0,1000,INTERPRETABLE
user_seconds_since_prev_txn,6,1–7 days,,2806,5,0.001781895937277263,1000,INTERPRETABLE
user_seconds_since_prev_txn,7,7–30 days,,2,0,0.0,1000,LOW_SUPPORT
user_txn_count_1h,0,0,,34246,20,0.0005840098113648309,1000,INTERPRETABLE
user_txn_count_1h,1,1,,9099,19,0.0020881415540169247,1000,INTERPRETABLE
user_txn_count_1h,2,2–4,,2524,4,0.001584786053882726,1000,INTERPRETABLE
user_txn_count_1h,3,5–9,,14,0,0.0,1000,LOW_SUPPORT
user_txn_count_24h,0,0,,2774,5,0.001802451333813987,1000,INTERPRETABLE
user_txn_count_24h,1,1,,5993,3,0.0005005840146837978,1000,INTERPRETABLE
user_txn_count_24h,2,2–4,,21685,7,0.0003228037814157252,1000,INTERPRETABLE
user_txn_count_24h,3,5–9,,14481,16,0.0011048960707133485,1000,INTERPRETABLE
user_txn_count_24h,4,10–19,,950,12,0.01263157894736842,1000,LOW_SUPPORT
user_txn_count_7d,0,0,,8,0,0.0,1000,LOW_SUPPORT
user_txn_count_7d,1,1,,22,0,0.0,1000,LOW_SUPPORT
user_txn_count_7d,2,2–4,,398,0,0.0,1000,LOW_SUPPORT
user_txn_count_7d,3,5–9,,2817,3,0.0010649627263045794,1000,INTERPRETABLE
user_txn_count_7d,4,10–19,,13859,15,0.0010823291723789596,1000,INTERPRETABLE
user_txn_count_7d,5,20+,,28779,25,0.0008686889745995344,1000,INTERPRETABLE
