feature_name,feature_family,definition,entity,lookback_window,uses_current_value,uses_historical_values,strict_pit_required,minimum_history,null_semantics,cold_start_behavior,model_role,source_fields,notes
current_positive_amount_vs_card_mean,amount_deviation,Current positive amount divided by prior card mean,card_key,unbounded,true,true,true,1,NULL if current or mean nonpositive,0,primary,User|Card|Amount|timestamp,analysis-safe current context
current_positive_amount_user_z,amount_deviation,(current positive amount-prior mean)/prior std,user_id,unbounded,true,true,true,5,NULL if history <5 or std=0,0,primary,User|Amount|timestamp,minimum history five
current_positive_amount_card_z,amount_deviation,(current positive amount-prior mean)/prior std,card_key,unbounded,true,true,true,5,NULL if history <5 or std=0,0,primary,User|Card|Amount|timestamp,minimum history five
user_merchant_prior_txn_count,merchant_familiarity,Prior transactions for user-merchant pair,user_id|merchant_id_raw,unbounded,false,true,true,0,0 when none,new=1,primary,User|Merchant Name|timestamp,relationship key retained for audit
user_merchant_is_new,merchant_familiarity,1 when user has no prior merchant pair,user_id|merchant_id_raw,unbounded,false,true,true,0,0/1 flag,new=1,primary,User|Merchant Name|timestamp,relationship feature
user_merchant_seconds_since_prev_txn,merchant_familiarity,Seconds since prior user-merchant event,user_id|merchant_id_raw,unbounded,false,true,true,0,NULL if none,recency NULL,primary,User|Merchant Name|timestamp,strict prior max timestamp
card_merchant_prior_txn_count,merchant_familiarity,Prior transactions for card-merchant pair,card_key|merchant_id_raw,unbounded,false,true,true,0,0 when none,new=1,primary,User|Card|Merchant Name|timestamp,relationship key retained for audit
card_merchant_is_new,merchant_familiarity,1 when card has no prior merchant pair,card_key|merchant_id_raw,unbounded,false,true,true,0,0/1 flag,new=1,primary,User|Card|Merchant Name|timestamp,relationship feature
card_merchant_seconds_since_prev_txn,merchant_familiarity,Seconds since prior card-merchant event,card_key|merchant_id_raw,unbounded,false,true,true,0,NULL if none,recency NULL,primary,User|Card|Merchant Name|timestamp,strict prior max timestamp
user_mcc_prior_txn_count,mcc_familiarity,Prior transactions for user-MCC pair,user_id|merchant_category_code,unbounded,false,true,true,0,0 when none,new=1,primary,User|MCC|timestamp,relationship key retained for audit
user_mcc_is_new,mcc_familiarity,1 when user has no prior MCC pair,user_id|merchant_category_code,unbounded,false,true,true,0,0/1 flag,new=1,primary,User|MCC|timestamp,relationship feature
card_mcc_prior_txn_count,mcc_familiarity,Prior transactions for card-MCC pair,card_key|merchant_category_code,unbounded,false,true,true,0,0 when none,new=1,primary,User|Card|MCC|timestamp,relationship key retained for audit
card_mcc_is_new,mcc_familiarity,1 when card has no prior MCC pair,card_key|merchant_category_code,unbounded,false,true,true,0,0/1 flag,new=1,primary,User|Card|MCC|timestamp,relationship feature
user_channel_prior_txn_count,channel_familiarity,Prior transactions for user-channel pair,user_id|use_chip,unbounded,false,true,true,0,0 when none,new=1,primary,User|Use Chip|timestamp,unseen channel safe
user_channel_is_new,channel_familiarity,1 when user has no prior channel pair,user_id|use_chip,unbounded,false,true,true,0,0/1 flag,new=1,primary,User|Use Chip|timestamp,unseen channel safe
card_channel_prior_txn_count,channel_familiarity,Prior transactions for card-channel pair,card_key|use_chip,unbounded,false,true,true,0,0 when none,new=1,primary,User|Card|Use Chip|timestamp,unseen channel safe
card_channel_is_new,channel_familiarity,1 when card has no prior channel pair,card_key|use_chip,unbounded,false,true,true,0,0/1 flag,new=1,primary,User|Card|Use Chip|timestamp,unseen channel safe
